iter	Passed	Remaining
569	20249	15275
570	20278	15235
571	20308	15195
572	20337	15155
573	20365	15114
574	20393	15073
575	20413	15026
576	20438	14983
577	20467	14943
578	20497	14903
579	20523	14862
580	20546	14817
581	20568	14772
582	20602	14735
583	20632	14696
584	20701	14685
585	20751	14660
586	20785	14623
587	20805	14577
588	20837	14540
589	20872	14504
590	20905	14467
591	20936	14429
592	20966	14390
593	20997	14351
594	21025	14311
595	21056	14273
596	21085	14233
597	21109	14190
598	21138	14151
599	21167	14111
600	21196	14071
601	21246	14046
602	21278	14009
603	21307	13969
604	21337	13931
605	21364	13890
606	21391	13849
607	21421	13811
608	21454	13774
609	21488	13738
610	21519	13700
611	21547	13660
612	21574	13620
613	21605	13582
614	21636	13544
615	21682	13516
616	21723	13484
617	21754	13446
618	21801	13419
619	21852	13393
620	21892	13361
621	21931	13328
622	21967	13293
623	21999	13256
624	22032	13219
625	22076	13189
626	22104	13149
627	22131	13109
628	22180	13082
629	22219	13049
630	22281	13029
631	22319	12996
632	22356	12961
633	22393	12927
634	22434	12895
635	22472	12861
636	22506	12825
637	22539	12789
638	22568	12749
639	22604	12714
640	22635	12677
641	22675	12644
642	22729	12619
643	22769	12587
644	22804	12551
645	22836	12514
646	22874	12480
647	22936	12459
648	23001	12439
649	23031	12401
650	23074	12369
651	23111	12335
652	23137	12295
653	23179	12263
654	23221	12230
655	23253	12194
656	23307	12168
657	23353	12137
658	23392	12104
659	23430	12070
660	23458	12030
661	23482	11989
662	23513	11951
663	23554	11919
664	23599	11888
665	23636	11853
666	23673	11818
667	23709	11783
668	23770	11760
669	23813	11728
670	23843	11690
671	23882	11657
672	23919	11622
673	23950	11584
674	23985	11548
675	24039	11521
676	24098	11497
677	24156	11472
678	24193	11437
679	24235	11405
680	24265	11366
681	24290	11326
682	24338	11295
683	24368	11258
684	24398	11219
685	24427	11181
686	24460	11144
687	24493	11107
688	24525	11070
689	24558	11033
690	24590	10996
691	24623	10959
692	24658	10923
693	24692	10887
694	24738	10856
695	24793	10829
696	24841	10799
697	24882	10765
698	24920	10731
699	24950	10693
700	24981	10655
701	25012	10617
702	25045	10581
703	25077	10544
704	25106	10505
705	25136	10467
706	25184	10436
707	25238	10408
708	25269	10371
709	25299	10333
710	25327	10294
711	25433	10287
712	25465	10250
713	25495	10212
714	25523	10173
715	25553	10135
716	25584	10098
717	25616	10061
718	25648	10023
719	25682	9987
720	25721	9953
721	25759	9918
722	25796	9883
723	25855	9856
724	25907	9826
725	25943	9791
726	25977	9755
727	26008	9717
728	26053	9685
729	26091	9650
730	26124	9613
731	26156	9576
732	26192	9540
733	26218	9501
734	26245	9462
735	26302	9434
736	26350	9403
737	26373	9362
738	26408	9326
739	26468	9299
740	26500	9262
741	26532	9225
742	26565	9188
743	26597	9151
744	26630	9115
745	26656	9076
746	26680	9036
747	26710	8998
748	26741	8961
749	26770	8923
750	26800	8885
751	26826	8847
752	26849	8807
753	26898	8775
754	26937	8741
755	26964	8702
756	26987	8663
757	27020	8626
758	27060	8592
759	27088	8554
760	27115	8516
761	27146	8478
762	27175	8441
763	27202	8403
764	27229	8364
765	27258	8327
766	27291	8290
767	27322	8253
768	27353	8216
769	27408	8186
770	27482	8162
771	27517	8126
772	27547	8089
773	27577	8052
774	27608	8015
775	27644	7979
776	27674	7942
777	27706	7905
778	27736	7868
779	27764	7831
780	27793	7793
781	27828	7757
782	27859	7721
783	27890	7684
784	27938	7652
785	27975	7616
786	28005	7579
787	28046	7545
788	28121	7520
789	28158	7485
790	28203	7451
791	28235	7415
792	28262	7377
793	28285	7338
794	28312	7300
795	28334	7261
796	28365	7224
797	28398	7188
798	28423	7150
799	28448	7112
800	28524	7086
801	28588	7058
802	28625	7022
803	28663	6987
804	28697	6951
805	28728	6914
806	28758	6877
807	28792	6841
808	28820	6804
809	28841	6765
810	28871	6728
811	28897	6690
812	28918	6651
813	28950	6615
814	28999	6582
815	29033	6546
816	29064	6510
817	29097	6474
818	29122	6436
819	29146	6397
820	29177	6361
821	29208	6324
822	29239	6288
823	29267	6251
824	29296	6214
825	29339	6180
826	29364	6142
827	29390	6105
828	29418	6068
829	29469	6035
830	29509	6001
831	29568	5970
832	29621	5938
833	29671	5905
834	29706	5870
835	29729	5832
836	29757	5795
837	29783	5757
838	29804	5719
839	29834	5682
840	29859	5645
841	29881	5607
842	29908	5570
843	29942	5534
844	29980	5499
845	30027	5465
846	30065	5430
847	30102	5395
848	30137	5360
849	30172	5324
850	30200	5287
851	30225	5250
852	30256	5214
853	30283	5177
854	30304	5139
855	30327	5101
856	30354	5064
857	30371	5026
858	30398	4989
859	30421	4952
860	30447	4915
861	30468	4877
862	30499	4841
863	30531	4805
864	30593	4774
865	30644	4741
866	30670	4704
867	30733	4673
868	30796	4642
869	30830	4606
870	30859	4570
871	30888	4534
872	30917	4497
873	30949	4461
874	30974	4424
875	30996	4387
876	31030	4352
877	31083	4319
878	31119	4283
879	31148	4247
880	31176	4211
881	31204	4174
882	31240	4139
883	31276	4104
884	31310	4068
885	31346	4033
886	31381	3997
887	31418	3962
888	31447	3926
889	31477	3890
890	31505	3854
891	31535	3818
892	31564	3782
893	31594	3746
894	31667	3715
895	31694	3678
896	31714	3641
897	31743	3605
898	31765	3568
899	31786	3531
900	31823	3496
901	31862	3461
902	31902	3426
903	31934	3391
904	31964	3355
905	31990	3319
906	32012	3282
907	32036	3246
908	32065	3210
909	32112	3175
910	32148	3140
911	32171	3104
912	32198	3068
913	32227	3032
914	32251	2996
915	32274	2959
916	32305	2924
917	32333	2888
918	32361	2852
919	32407	2818
920	32434	2782
921	32476	2747
922	32505	2711
923	32542	2676
924	32571	2640
925	32594	2604
926	32636	2570
927	32706	2537
928	32748	2502
929	32781	2467
930	32799	2430
931	32825	2395
932	32855	2359
933	32885	2323
934	32911	2287
935	32956	2253
936	33009	2219
937	33047	2184
938	33082	2149
939	33134	2114
940	33173	2079
941	33204	2044
942	33235	2008
943	33262	1973
944	33291	1937
945	33320	1902
946	33350	1866
947	33380	1830
948	33408	1795
949	33440	1760
950	33469	1724
951	33494	1688
952	33516	1652
953	33545	1617
954	33571	1581
955	33593	1546
956	33619	1510
957	33646	1475
958	33672	1439
959	33741	1405
960	33770	1370
961	33799	1335
962	33825	1299
963	33845	1263
964	33877	1228
965	33906	1193
966	33929	1157
967	33950	1122
968	33976	1086
969	34005	1051
970	34039	1016
971	34071	981
972	34118	946
973	34164	911
974	34199	876
975	34219	841
976	34247	806
977	34267	770
978	34296	735
979	34325	700
980	34354	665
981	34384	630
982	34417	595
983	34448	560
984	34475	525
985	34498	489
986	34524	454
987	34544	419
988	34576	384
989	34605	349
990	34635	314
991	34665	279
992	34691	244
993	34726	209
994	34778	174
995	34806	139
996	34835	104
997	34859	69
998	34880	34
999	34909	0
